Authors,Title,Keywords,Abstract,Publisher,Publication Date,Volume,Issue,DOI,pages
"Tortora, L",Beyond Discrimination: Generative AI Applications and Ethical Challenges in Forensic Psychiatry,forensic psychiatry; forensic AI; generative AI; generative artificial intelligence; discriminative AI; ethical AI; large language models; large generative AI models,"The advent and growing popularity of generative artificial intelligence (GenAI) holds the potential to revolutionise AI applications in forensic psychiatry and criminal justice, which traditionally relied on discriminative AI algorithms. Generative AI models mark a significant shift from the previously prevailing paradigm through their ability to generate seemingly new realistic data and analyse and integrate a vast amount of unstructured content from different data formats. This potential extends beyond reshaping conventional practices, like risk assessment, diagnostic support, and treatment and rehabilitation plans, to creating new opportunities in previously underexplored areas, such as training and education. This paper examines the transformative impact of generative artificial intelligence on AI applications in forensic psychiatry and criminal justice. First, it introduces generative AI and its prevalent models. Following this, it reviews the current applications of discriminative AI in forensic psychiatry. Subsequently, it presents a thorough exploration of the potential of generative AI to transform established practices and introduce novel applications through multimodal generative models, data generation and data augmentation. Finally, it provides a comprehensive overview of ethical and legal issues associated with deploying generative AI models, focusing on their impact on individuals as well as their broader societal implications. In conclusion, this paper aims to contribute to the ongoing discourse concerning the dynamic challenges of generative AI applications in forensic contexts, highlighting potential opportunities, risks, and challenges. It advocates for interdisciplinary collaboration and emphasises the necessity for thorough, responsible evaluations of generative AI models before widespread adoption into domains where decisions with substantial life-altering consequences are routinely made.",FRONTIERS MEDIA SA,MAR 8,15,,10.3389/fpsyt.2024.1346059,13
"Bernstein, MS; Park, JS; Morris, MR; Amershi, S; Chilton, L; Gordon, ML",Architecting Novel Interactions With Generative AI Models,HCI; AI; Generative AI; Human-AI Interaction,"The new generation of generative AI models offers interactive opportunities that may fulfill long-standing aspirations in human-computer interaction and open doors to new forms of interaction that we have yet to imagine. The UIST community has a unique vantage point that can lead to critical contributions in envisioning a future of interactive computing that appropriately leverages the power of these new generative AI models. However, we are only just beginning to understand the research area that exists at the intersection of interaction and generative AI. By bringing together members of the UIST community interested in this intersection, we seek to initiate discussions on the potential of generative AI in architecting new forms of interactions. Key topics of interest include the exploration of novel categories of interactions made possible by generative AI, the development of methods for enabling more powerful and direct user control of generative AI, and the identification of model and architecture requirements for generative AI in interaction literature. The workshop will foster community building and produce concrete deliverables, including a research agenda, model/architecture requirements, and a simulated debate generated by a generative agent architecture.",ASSOC COMPUTING MACHINERY,,,,10.1145/3586182.3617431,3
"Kalota, F",A Primer on Generative Artificial Intelligence,artificial intelligence; AI; generative artificial intelligence; generative AI; GAI; GenAI; Gen-AI; ChatGPT; LLM; GPT; AI businesses; AI education; AI ethics; AI security,"Many educators and professionals in different industries may need to become more familiar with the basic concepts of artificial intelligence (AI) and generative artificial intelligence (Gen-AI). Therefore, this paper aims to introduce some of the basic concepts of AI and Gen-AI. The approach of this explanatory paper is first to introduce some of the underlying concepts, such as artificial intelligence, machine learning, deep learning, artificial neural networks, and large language models (LLMs), that would allow the reader to better understand generative AI. The paper also discusses some of the applications and implications of generative AI on businesses and education, followed by the current challenges associated with generative AI.",MDPI,FEB,14,2,10.3390/educsci14020172,15
"Zimmermann, A",The Generative AI Deployment Rush: How to Democratize the Politics of Pace,AI deployment; generative AI; political philosophy of AI,,ASSOC COMPUTING MACHINERY,,,,10.1145/3600211.3607545,1
"Pedersen, I",The rise of generative AI and enculturating AI writing in postsecondary education,generative AI; education; culture; AI writing; hype,,FRONTIERS MEDIA SA,AUG 10,6,,10.3389/frai.2023.1259407,3
"Ferrari, F; van Dijck, J; van den Bosch, A","Observe, inspect, modify: Three conditions for generative AI governance",AI governance; AI regulation; generative AI; generative models; inspectability; large language models; modifiability; observability; regulatory objects,"In a world increasingly shaped by generative AI systems like ChatGPT, the absence of benchmarks to examine the efficacy of oversight mechanisms is a problem for research and policy. What are the structural conditions for governing generative AI systems? To answer this question, it is crucial to situate generative AI systems as regulatory objects: material items that can be governed. On this conceptual basis, we introduce three high-level conditions to structure research and policy agendas on generative AI governance: industrial observability, public inspectability, and technical modifiability. Empirically, we explicate those conditions with a focus on the EU's AI Act, grounding the analysis of oversight mechanisms for generative AI systems in their granular material properties as observable, inspectable, and modifiable objects. Those three conditions represent an action plan to help us perceive generative AI systems as negotiable objects, rather than seeing them as mysterious forces that pose existential risks for humanity.",SAGE PUBLICATIONS LTD,2023 NOV 29,,,10.1177/14614448231214811,19
"Shah, C",Generative AI and the Future of Information Access,Generative AI; Information Access,,ASSOC COMPUTING MACHINERY,,,,10.1145/3583780.3615317,1
"Yin, M; Han, BX; Ryu, SH; Hua, M",Acceptance of Generative AI in the Creative Industry: Examining the Role of AI Anxiety in the UTAUT2 Model,UTAUT; Generative AI; AI anxiety; creative professionals,"With the boosting entrenchment of Generative artificial intelligence (AI) across the creative markets, little is explored around the opinions of those who are within the influenced industries. How well professionals in the creative domains are viewing and embracing this newly emerged technology awaits verification. Using a survey method, this study shed light on the underpinning factors that could predict professionals' acceptance and usage intention of Generative AI under the status quo. By integrating the expanded Unified Theory of Acceptance and Use of Technology (UTAUT2) model, the study incorporates the dimension of AI anxiety into the framework. Regression analyses reveal that acceptance and usage intention of Generative AI can be predicted by factors including performance expectancy, social influence, hedonic motivation, habit, and AI anxiety, while effort expectancy, facility conditions, and price value cannot predict users' intention yet at current situations. The study shows the importance of the emotional attitudes of users and provides stakeholders with insights to develop Generative AI products to better fit the adaptability of users. Findings suggest that people who are actively involved in the creative and cultural economies favour using Generative AI, even when undergoing AI learning anxiety. Participants with a relatively higher level of education perform with more resilience and stability when faced with AI-related situations, as they are less possible to withdraw from future usage though undergoing the fear of Generative AI products, and they appear to less addictively rely on Generative AI tools despite all the merits.",SPRINGER INTERNATIONAL PUBLISHING AG,,14059,,10.1007/978-3-031-48057-7_18,23
"Colton, S; Banar, B",Automatically Adding to Artistic Cultures,Generative AI; Neuro-symbolic AI; Artistic cultures,"We consider how generative AI systems could and should evolve from being used as co-creative tools for artefact generation to co-creative collaborators for enhancing cultural knowledge, via artefact generation. We argue that while generative deep learning techniques and ethos have many drawbacks in this respect, neuro-symbolic approaches and increased AI autonomy could improve matters so that AI systems may be able to add to cultural knowledge directly. To do this, we consider what cultural knowledge is, differences between scientific and artistic applications of generative AI, stakeholders and ethical issues. We also present a case study in decision foregrounding for generative music.",SPRINGER INTERNATIONAL PUBLISHING AG,,13988,,10.1007/978-3-031-29956-8_4,17
"Khoury, CJ; Enver, N; Paderno, A; Ratti, E; Rameau, A",Using Generative Artificial Intelligence in the Production and Dissemination of Innovation in Otolaryngology-Ethical Considerations,generative AI; otolaryngology,,WILEY,2023 DEC 3,,,10.1002/ohn.601,4
"Okolo, CT",The Promise and Perils of Generative AI: Case Studies in an African Context,generative AI; large language models; responsible AI; Africa; algorithmic bias,"As generative AI applications such as ChatGPT, Midjourney, DALL center dot E, Bard, and others increase in ubiquity, concerns about the negative implications of these technologies are becoming more present in public discourse. However, little research has examined the impact that generative AI stands to have on African consumers and users who may be affected by its application in various fields such as education, healthcare, and social media. This work presents an early look into the implications of using generative AI within African contexts, exploring case studies of current generative AI use within Africa. These case studies examine the use of generative AI in marketing and for image and text generation. While the potential for generative AI in Africa is growing, this preliminary work aims to set a foundation for highlighting risks associated with generative AI while exploring how generative AI can be responsibly developed and used within African contexts.",ASSOC COMPUTING MACHINERY,,,,10.1145/3628096.3629066,5
"Okaiyeto, SA; Bai, JW; Xiao, HW",Generative AI in education: To embrace it or not?,Generative AI; education; ChatGPT; OpenAI,,CHINESE ACAD AGRICULTURAL ENGINEERING,MAY,16,3,10.25165/j.ijabe.20231603.8486,2
"Sachan, S; Liu, X",Blockchain-based auditing of legal decisions supported by explainable AI and generative AI tools,Legal; Law; Explainable AI; Blockchain; Generative AI; Responsible AI,"Generative AI tools powered by Large Language Models (LLMs) have demonstrated advanced capabilities in understanding and articulating legal facts closer to the level of legal practitioners. However, scholars hold contrasting views on the reliability of the reasoning behind a decision derived from LLMs due to its black-box nature. Law firms are vigilant in recognizing the potential risks of violating confidentiality and inappropriate exposure of sensitive legal data through the prompt sent to Generative AI. This research attempts to find an equilibrium between responsible usage and control of human legal professionals over content produced by Generative AI through regular audits. It investigates the potential of Generative AI in drafting correspondence for pre-litigation decisions derived from an eXplainable AI (XAI) algorithm. This research presents an end-to-end process of designing the architecture and methodology for a blockchain-based auditing system. It detects unauthorized alterations of data repositories containing the decisions by an XAI model and automated textual explanation by Generative AI. The automated auditing by blockchain facilitates responsible usage of AI technologies and reduces discrepancies in tracing the accountability of adversarial decisions. It conceptualizes the two algorithms. First, strategic on-chain (within blockchain) and off-chain (outside blockchain) data storage in compliance with the data protection laws and critical requirements of stakeholders in a legal firm. Second, auditing by comparison of the unique signature as Merkle roots of files stored off-chain with their immutable blockchain counterpart. A case study on liability cases under tort law demonstrates the system implementation results.",PERGAMON-ELSEVIER SCIENCE LTD,MAR,129,,10.1016/j.engappai.2023.107666,25
"Bird, C; Ungless, EL; Kasirzadeh, A",Typology of Risks of Generative Text-to-Image Models,Generative AI; Generative models; Text-to-Image models; Responsible AI; AI ethics; AI safety; AI governance; AI risks,"This paper investigates the direct risks and harms associated with modern text-to-image generative models, such as DALL-E and Mid-journey, through a comprehensive literature review. While these models offer unprecedented capabilities for generating images, their development and use introduce new types of risk that require careful consideration. Our review reveals significant knowledge gaps concerning the understanding and treatment of these risks despite some already being addressed. We offer a taxonomy of risks across six key stakeholder groups, inclusive of unexplored issues, and suggest future research directions. We identify 22 distinct risk types, spanning issues from data bias to malicious use. The investigation presented here is intended to enhance the ongoing discourse on responsible model development and deployment. By highlighting previously overlooked risks and gaps, it aims to shape subsequent research and governance initiatives, guiding them toward the responsible, secure, and ethically conscious evolution of text-to-image models.",ASSOC COMPUTING MACHINERY,,,,10.1145/3600211.3604722,15
"Dale, R",A year's a long time in generative AI,Generative AI; NLP industry,"A lot has happened since OpenAI released ChatGPT to the public in November 2022. We review how things unfolded over the course of the year, tracking significant events and announcements from the tech giants leading the generative AI race and from other players of note; along the way we note the wider impacts of the technology's progress.",CAMBRIDGE UNIV PRESS,2024 JAN 8,,,10.1017/S1351324923000554,13
"Bandi, A; Adapa, PVSR; Kuchi, YEVPK","The Power of Generative AI: A Review of Requirements, Models, Input-Output Formats, Evaluation Metrics, and Challenges",generative AI survey; AIGC; AIGC models; ChatGPT; GPT-3; GPT-4; generative AI models; generative adversarial networks; transformers; user experience,"Generative artificial intelligence (AI) has emerged as a powerful technology with numerous applications in various domains. There is a need to identify the requirements and evaluation metrics for generative AI models designed for specific tasks. The purpose of the research aims to investigate the fundamental aspects of generative AI systems, including their requirements, models, input- output formats, and evaluation metrics. The study addresses key research questions and presents comprehensive insights to guide researchers, developers, and practitioners in the field. Firstly, the requirements necessary for implementing generative AI systems are examined and categorized into three distinct categories: hardware, software, and user experience. Furthermore, the study explores the different types of generative AI models described in the literature by presenting a taxonomy based on architectural characteristics, such as variational autoencoders (VAEs), generative adversarial networks (GANs), diffusion models, transformers, language models, normalizing flow models, and hybrid models. A comprehensive classification of input and output formats used in generative AI systems is also provided. Moreover, the research proposes a classification system based on output types and discusses commonly used evaluation metrics in generative AI. The findings contribute to advancements in the field, enabling researchers, developers, and practitioners to effectively implement and evaluate generative AI models for various applications. The significance of the research lies in understanding that generative AI system requirements are crucial for effective planning, design, and optimal performance. A taxonomy of models aids in selecting suitable options and driving advancements. Classifying input-output formats enables leveraging diverse formats for customized systems, while evaluation metrics establish standardized methods to assess model quality and performance.",MDPI,AUG,15,8,10.3390/fi15080260,60
"Zhang, WC; Yan, RA; Yuan, L",How Generative AI Was Mentioned in Social Media and Academic Field? A Text Mining Based on Internet Text Data,Generative AI; AIGC; KH-coder; text mining,"As ChatGPT has evolved, generative AI (Artificial Intelligence) has gone viral on the internet since 2022. Heated discussions on generative AI have appeared in both social media and academic field, generating massive textual data. Overwhelming media coverage of generative AI may lead to biased conception. To date, there has been no systematic analysis of how generative AI is mentioned on the internet. Moreover, little attention has been paid to demonstrating the gap in perceptions of generative AI between social media and academic field. This study seeks to focus on the following specific research questions: What are the key terms related to generative AI, what are the key term differences in social media and academic field on generative AI, and what are the topic differences of generative AI in social media and academic field? A text-mining approach supported by KH-coder was employed. The research data were drawn from two main text sources: the Sina Weibo platform and the CNKI periodical database. The results revealed statistically significant differences in key terms and topics related to generative AI between the social media and academic field. Our findings enhance the understanding of public ideas and the trend of generative AI on the internet, and provide supportive information for future studies on generative AI applications.",IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,,12,,10.1109/ACCESS.2024.3379010,8
"Hsiao, MY; Zhang, S",Research on the Educational Application of Generative Artificial Intelligence Images in the Design of Semiotics Learning Models,Design Semiotics; Design with Generative AI Images; AI Educational Applications; AI Teaching Methods,"Generative Artificial Intelligence (AI) has emerged as a novel technology with profound implications for education and deep learning, particularly due to its advancements in image generation. This progress has had a disruptive impact on the design industry, where designers are increasingly embracing generative AI images as innovative tools and techniques to enhance design ideation and creative expression. Integrating generative AI images into design education has become an inevitable trend, as it guides students in developing a deeper understanding of design aesthetics. However, the current application of generative AI images in design education lacks innovative use grounded in design theory. Therefore, the incorporation of generative AI images within the framework of design theory becomes crucial to interpret and refine design processes and design thinking. This research aims to explore the application of generative AI images in design semiotics, utilizing design theory as its foundation. By integrating design processes and incorporating design case studies, the study seeks to analyze how generative AI images can be effectively applied in design semiotics. Ultimately, the research strives to establish a pedagogical approach for the application of generative AI image-based design semiotics.",ASSOC COMPUTING MACHINERY,,,,10.1145/3637907.3637947,8
"Muller, M; Chilton, LB; Kantosalo, A; Maher, ML; Martin, CP; Walsh, G",GenAICHI: Generative AI and HCI,Generative AI; Design; Bias; Uncertainty,"This workshop applies human centered themes to a new and powerful technology, generative artificial intelligence (AI). Unlike AI systems that produce decisions or descriptions, generative AI systems can produce new and creative content that can include images, texts, music, video, and other forms of design. The results are often similar to results produced by humans. However, it is not yet clear how humans make sense of generative AI algorithms or their outcomes. It is also not yet clear how humans can control and more generally, interact with, these powerful capabilities. Finally, it is not clear what kinds of collaboration patterns will emerge when creative humans and creative technologies work together. It is time to convene the interdisciplinary research domain of generative AI and HCI. Participation in this invitational workshop is open to seasoned scholars and early career researchers. We solicit descriptions of completed projects, works-in-progress, and provocations. Together we will develop theories and practices in this intriguing new domain.",ASSOC COMPUTING MACHINERY,,,,10.1145/3491101.3503719,7
"Hsu, CHC; Tan, GX; Stantic, B",A fine-tuned tourism-specific generative AI concept,Generative AI; Large language model; Fine-tuning; AI ethics; ChatGPT,,PERGAMON-ELSEVIER SCIENCE LTD,JAN,104,,10.1016/j.annals.2023.103723,4
"Chen, Y; Esmaeilzadeh, P",Generative AI in Medical Practice: In-Depth Exploration of Privacy and Security Challenges,artificial intelligence; AI; generative artificial intelligence; generative AI; medical practices; potential benefits; security and privacy threats,"As advances in artificial intelligence (AI) continue to transform and revolutionize the field of medicine, understanding the potential uses of generative AI in health care becomes increasingly important. Generative AI, including models such as generative adversarial networks and large language models, shows promise in transforming medical diagnostics, research, treatment planning, and patient care. However, these data -intensive systems pose new threats to protected health information. This Viewpoint paper aims to explore various categories of generative AI in health care, including medical diagnostics, drug discovery, virtual health assistants, medical research, and clinical decision support, while identifying security and privacy threats within each phase of the life cycle of such systems (ie, data collection, model development, and implementation phases). The objectives of this study were to analyze the current state of generative AI in health care, identify opportunities and privacy and security challenges posed by integrating these technologies into existing health care infrastructure, and propose strategies for mitigating security and privacy risks. This study highlights the importance of addressing the security and privacy threats associated with generative AI in health care to ensure the safe and effective use of these systems. The findings of this study can inform the development of future generative AI systems in health care and help health care organizations better understand the potential benefits and risks associated with these systems. By examining the use cases and benefits of generative AI across diverse domains within health care, this paper contributes to theoretical discussions surrounding AI ethics, security vulnerabilities, and data privacy regulations. In addition, this study provides practical insights for stakeholders looking to adopt generative AI solutions within their organizations.","JMIR PUBLICATIONS, INC",MAR 8,26,,10.2024/1/e53008,19
"Agrawal, K",Towards Adoption of Generative AI in Organizational Settings,Generative AI; innovation diffusion; TOE framework,"As an emerging technology, Generative Artificial Intelligence (AI) holds immense potential for application across various levels of business and management. However, current studies have not yet investigated the elements that impact the acceptance and implementation of generative AI tools, such as ChatGPT, within organizational settings. To fully leverage its benefits, organizations must embrace and integrate Generative AI at a comprehensive and profound level, making it a valuable area of study. This study aims to put forth and examine the influencing factors impacting the adoption of generative AI technology by utilizing the Technology-Organization-Environment framework in conjunction with the institutional theory and the diffusion of innovation theory. Data from 108 organizations in India is collected and analyzed, leading to valuable insights and implications that contribute to a deeper understanding of the key determinants of generative AI adoption. The study digs out valuable knowledge for organizations looking to embrace this technology.",TAYLOR & FRANCIS INC,2023 JUL 27,,,10.1080/08874417.2023.2240744,16
